state,district,month,enrolment_total,demo_updates_total,bio_updates_total,month_dt,total_updates,total_transactions,enroll_velocity,growth_acceleration,update_churn,center_load_density,enroll_velocity_norm,total_updates_norm,growth_acceleration_norm,center_load_density_norm,update_churn_norm,ASSI_raw,ASSI,StressCategory,high_stress,HighStressNextMonth,risk_probability_after
Maharashtra,Ahmadnagar,2025-07,0.0,0.0,35989.0,2025-07-01,35989.0,35989.0,0.0,0.0,0.5173544284530434,26991.75,0.5170112752761873,0.2561950525004449,0.700712835607737,0.11395089144357708,5.682299499740536e-05,0.3505453062314916,35.05,🟡 Watchlist,0,0.0,0.5804522418025849
Maharashtra,Ahmadnagar,2025-08,0.0,0.0,39472.0,2025-08-01,39472.0,39472.0,0.0,0.0,0.9322367324256737,29604.0,0.5170112752761873,0.2809894999110162,0.700712835607737,0.12497941848241387,0.00010239108871922901,0.3584050323540182,35.84,🟡 Watchlist,0,1.0,0.8263992886494753
Maharashtra,Ahmadnagar,2025-09,12130.0,3460.0,122209.0,2025-09-01,125669.0,137799.0,12130.0,12130.0,2.7061193727357944,103349.25,0.5798070053736164,0.8946004627157857,0.7510721595556091,0.4363207845885596,0.0002972233330236283,0.5843090001217098,58.43,🔴 Critical,1,1.0,0.9773952633511904
Maharashtra,Ahmadnagar,2025-10,30024.0,1743.0,68722.0,2025-10-01,70465.0,100489.0,17894.0,5764.0,0.4766073844195114,75366.75,0.6096466251824855,0.5016195052500445,0.7246428556601306,0.3181828736442585,5.234759292884727e-05,0.47048038692573674,47.05,🟡 Watchlist,1,1.0,0.975526337426609
Maharashtra,Ahmadnagar,2025-11,114069.0,2158.0,80413.0,2025-11-01,82571.0,196640.0,84045.0,66151.0,0.9960172281667755,147480.0,0.9521033722290672,0.5877985406655989,0.9753475955810005,0.6226341809400371,0.00010939634196750116,0.6734565339321672,67.35,🔴 Critical,1,0.0,0.3524363130562865
Maharashtra,Ahmadnagar,2025-12,42286.0,4529.0,62361.0,2025-12-01,66890.0,109176.0,-71783.0,-155828.0,0.6885687642300053,81882.0,0.1453982584926954,0.4761701370350596,0.053771967334941384,0.3456892803012712,7.562811352017339e-05,0.21801122861114575,21.8,🟢 Stable,0,0.0,0.2326902610800925
Maharashtra,Ahmadnagar,2026-01,2444.0,1552.0,6451.0,2026-01-01,8003.0,10447.0,-39842.0,31941.0,0.10169604281592441,7835.25,0.3107534452232794,0.056970991279587116,0.8333201864914124,0.03307502649210725,1.1169661289000998e-05,0.2635580758470085,26.36,🟢 Stable,0,,0.19730267636575186
Maharashtra,Ahmed Nagar,2025-03,0.0,0.0,185.0,2025-03-01,185.0,185.0,0.0,0.0,0.0,138.75,0.5170112752761873,0.0013169603132229934,0.700712835607737,0.000581559804612793,0.0,0.26981185998959195,26.98,🟢 Stable,0,0.0,0.010456537186334821
Maharashtra,Ahmed Nagar,2025-04,0.0,0.0,157.0,2025-04-01,157.0,157.0,0.0,0.0,0.7174731182795699,117.75,0.5170112752761873,0.0011176365901405944,0.700712835607737,0.0004929009596264507,7.880278812472395e-05,0.26976055065029214,26.98,🟢 Stable,0,0.0,0.057121739402764986
Maharashtra,Ahmed Nagar,2025-05,0.0,0.0,444.0,2025-05-01,444.0,444.0,0.0,0.0,2.3886075949367087,333.0,0.5170112752761873,0.003160704751735184,0.700712835607737,0.0014016541207364592,0.00026234981272644527,0.27043516271854745,27.04,🟢 Stable,0,0.0,0.005254476907970312
Maharashtra,Ahmed Nagar,2025-06,0.0,48.0,1621.0,2025-06-01,1669.0,1669.0,0.0,0.0,3.1879775280898874,1251.75,0.5170112752761873,0.01188111763659014,0.700712835607737,0.005280478588888936,0.0003501476379977178,0.2732102592837748,27.32,🟢 Stable,0,0.0,0.0040294073166691185
Maharashtra,Ahmed Nagar,2025-07,0.0,0.0,1022.0,2025-07-01,1022.0,1022.0,0.0,0.0,0.5201796407185628,766.5,0.5170112752761873,0.007275315892507564,0.700712835607737,0.00323182599224024,5.713329875359481e-05,0.2717075588073702,27.17,🟢 Stable,0,0.0,0.051152943335394066
Maharashtra,Ahmed Nagar,2025-08,0.0,0.0,1232.0,2025-08-01,1232.0,1232.0,0.0,0.0,1.0236559139784946,924.0,0.5170112752761873,0.008770243815625555,0.700712835607737,0.0038967673296378073,0.00011243200343909658,0.27218932679446217,27.22,🟢 Stable,0,0.0,0.009170361028452333
Maharashtra,Ahmed Nagar,2025-09,289.0,82.0,2776.0,2025-09-01,2858.0,3147.0,289.0,289.0,1.9702351987023519,2360.25,0.5185073977822183,0.0203452571631963,0.7019126579177893,0.009960399049239432,0.00021639838896196295,0.27662221493564176,27.66,🟢 Stable,0,0.0,0.005784233769141502
Maharashtra,Ahmed Nagar,2025-10,727.0,51.0,2057.0,2025-10-01,2108.0,2835.0,438.0,149.0,0.6267226302903113,2126.25,0.5192787550604143,0.015006228866346324,0.7013314291170719,0.008972486205105904,6.883531854986212e-05,0.2751937300336529,27.52,🟢 Stable,0,0.0,0.042835742485637894
Maharashtra,Ahmed Nagar,2025-11,3329.0,72.0,2718.0,2025-11-01,2790.0,6119.0,2602.0,2164.0,1.1244665718349929,4589.25,0.5304815547249515,0.019861185264281902,0.7096969722131117,0.01937090216707548,0.00012350441954693487,0.2824492404279241,28.24,🟢 Stable,0,0.0,0.005600851373795997
Maharashtra,Ahmed Nagar,2025-12,1460.0,132.0,1962.0,2025-12-01,2094.0,3554.0,-1869.0,-4471.0,0.6377284127552848,2665.5,0.5073356594845884,0.014906567004805126,0.6821508786933976,0.011249118688862338,7.004412529347054e-05,0.26868860678315126,26.87,🟢 Stable,0,0.0,0.04443596928516314
Maharashtra,Ahmed Nagar,2026-01,103.0,35.0,131.0,2026-01-01,166.0,269.0,-1357.0,512.0,0.0673508353221957,201.75,0.5099862294606711,0.0011817049297027941,0.7028384723646464,0.00084753633957182,7.39739715774281e-06,0.2684879181310322,26.85,🟢 Stable,0,,0.06201015818394706
Maharashtra,Ahmednagar,2025-07,0.0,368.0,0.0,2025-07-01,368.0,368.0,0.0,0.0,0.0,276.0,0.5170112752761873,0.002619683217654387,0.700712835607737,0.0011610086843449588,0.0,0.2702244580476596,27.02,🟢 Stable,0,,0.010456537186334821
Maharashtra,Akola,2025-03,8633.0,0.0,28340.0,2025-03-01,28340.0,36973.0,0.0,0.0,0.0,27729.75,0.5170112752761873,0.201744082576971,0.700712835607737,0.11706661656738282,0.0,0.3373913990699444,33.74,🟡 Watchlist,0,0.0,0.04637999201712023
Maharashtra,Akola,2025-04,0.0,0.0,16908.0,2025-04-01,16908.0,16908.0,-8633.0,-8633.0,0.5071027839525776,12681.0,0.4723191451911827,0.1203630539241858,0.6648717767749275,0.05353305497270574,5.569701808075466e-05,0.28918321793244556,28.92,🟢 Stable,0,0.0,0.37056554224066707
Maharashtra,Akola,2025-05,0.0,0.0,29305.0,2025-05-01,29305.0,29305.0,0.0,8633.0,1.4731356082559584,21978.75,0.5170112752761873,0.20861363231891794,0.7365538944405465,0.09278675859040879,0.00016180005948480177,0.3426592895843697,34.27,🟡 Watchlist,0,0.0,0.12147828049014206
Maharashtra,Akola,2025-06,2092.0,963.0,32691.0,2025-06-01,33654.0,35746.0,2092.0,2092.0,0.9761106940558247,26809.5,0.5278413385378379,0.239572877736252,0.7093980545441714,0.11318145932458847,0.00010720993198240736,0.35072646536584234,35.07,🟡 Watchlist,0,0.0,0.7583203059328129
Maharashtra,Akola,2025-07,0.0,637.0,19940.0,2025-07-01,20577.0,20577.0,-2092.0,-4184.0,0.5196984103402169,15432.75,0.5061812120145367,0.14648158035237585,0.6833423977348684,0.06515053005323751,5.708044339974558e-05,0.30961531921319735,30.96,🟡 Watchlist,0,0.0,0.4235004067789628
Maharashtra,Akola,2025-08,0.0,0.0,18512.0,2025-08-01,18512.0,18512.0,0.0,2092.0,0.7646612887549811,13884.0,0.5170112752761873,0.13178145577504893,0.7093980545441714,0.05861194023549478,8.398564348923422e-05,0.312882182553491,31.29,🟡 Watchlist,0,0.0,0.5539425113373355
Maharashtra,Akola,2025-09,3623.0,1502.0,41546.0,2025-09-01,43048.0,46671.0,3623.0,3623.0,1.9764921946740128,35003.25,0.5357671639936634,0.30644598683039687,0.7157542066434452,0.14777424080586668,0.00021708561851146074,0.3759028279983608,37.59,🟡 Watchlist,0,0.0,0.24310287277917272
Maharashtra,Akola,2025-10,6575.0,788.0,29120.0,2025-10-01,29908.0,36483.0,2952.0,-671.0,0.590531719668285,27362.25,0.5322934677945393,0.21290621106958532,0.6979270889985844,0.11551508678012183,6.48603338582725e-05,0.343222329582845,34.32,🟡 Watchlist,0,1.0,0.7375962344193594
Maharashtra,Akola,2025-11,27623.0,1060.0,38458.0,2025-11-01,39518.0,67141.0,21048.0,18096.0,1.1230833528369386,50355.75,0.625974550386714,0.281316960313223,0.7758408097347521,0.21259018926552478,0.00012335249536907139,0.4138980708860688,41.39,🟡 Watchlist,1,0.0,0.2558574486354166
Maharashtra,Akola,2025-12,10779.0,776.0,21666.0,2025-12-01,22442.0,33221.0,-16844.0,-37892.0,0.4826969305903489,24915.75,0.4298116645786525,0.1597579640505428,0.5433991090592812,0.10518633133921294,5.3016430832944524e-05,0.2718581311346619,27.19,🟢 Stable,0,0.0,0.3364242275735928
Maharashtra,Akola,2026-01,987.0,359.0,2688.0,2026-01-01,3047.0,4034.0,-9792.0,7052.0,0.1154012386935793,3025.5,0.46631912448360474,0.02169069229400249,0.7299901606267307,0.012768984602913919,1.2674954824659072e-05,0.26991773525340873,26.99,🟢 Stable,0,,0.041849900032679854
Maharashtra,Amravati,2025-03,13768.0,0.0,48164.0,2025-03-01,48164.0,61932.0,0.0,0.0,0.0,46449.0,0.5170112752761873,0.3428652785193095,0.700712835607737,0.19609647771074418,0.0,0.3845261772270332,38.45,🟡 Watchlist,1,0.0,0.04587665576312046
Maharashtra,Amravati,2025-04,0.0,0.0,40945.0,2025-04-01,40945.0,40945.0,-13768.0,-13768.0,0.7225838264299803,30708.75,0.44573579201308716,0.29147535148602954,0.6435531346914714,0.12964350700615968,7.936411654426086e-05,0.332471843481479,33.25,🟡 Watchlist,0,1.0,0.8845023120076425
Maharashtra,Amravati,2025-05,181.0,0.0,44734.0,2025-05-01,44734.0,44915.0,181.0,13949.0,0.9286352757290088,33686.25,0.5179482931778884,0.3184481224417156,0.7586239823306444,0.14221406467029463,0.00010199552709918089,0.3821713094006389,38.22,🟡 Watchlist,1,1.0,0.776547681920268
Maharashtra,Amravati,2025-06,1003.0,1616.0,73633.0,2025-06-01,75249.0,76252.0,822.0,641.0,1.4297898737006818,57189.0,0.5212666825424764,0.5356753870795515,0.7033740331881645,0.24143914414661638,0.00015703923340052887,0.4411497515501424,44.11,🟡 Watchlist,1,0.0,0.7705368427435696
Maharashtra,Amravati,2025-07,2016.0,684.0,37062.0,2025-07-01,37746.0,39762.0,1013.0,191.0,0.4263667774086378,29821.5,0.5222554693890229,0.2687026161238655,0.7015057977572872,0.1258976708054867,4.682947690656489e-05,0.35693235597203854,35.69,🟡 Watchlist,0,0.0,0.49471670847438026
Maharashtra,Amravati,2025-08,0.0,0.0,31097.0,2025-08-01,31097.0,31097.0,-2016.0,-3029.0,0.7002530002384295,23322.75,0.5065746559953614,0.22137035059619148,0.6881375353407869,0.0984609246695347,7.691143738431899e-05,0.3343944341320835,33.44,🟡 Watchlist,0,1.0,0.8539621195245287
Maharashtra,Amravati,2025-09,6517.0,2291.0,76057.0,2025-09-01,78348.0,84865.0,6517.0,8533.0,2.1414817673162263,63648.75,0.5507490966319124,0.5577362520021356,0.7361387310114627,0.26871123814187947,0.00023520704773920625,0.4646910501392474,46.47,🟡 Watchlist,1,1.0,0.9513320834224541
Maharashtra,Amravati,2025-10,12192.0,1085.0,50363.0,2025-10-01,51448.0,63640.0,5675.0,-842.0,0.5581539011346667,47730.0,0.5463901514759326,0.36624310375511654,0.6972171595348509,0.20150466725491104,6.130415550281907e-05,0.39783664142629455,39.78,🟡 Watchlist,1,1.0,0.9603527026110873
Maharashtra,Amravati,2025-11,41628.0,1191.0,70801.0,2025-11-01,71992.0,113620.0,29436.0,23761.0,1.1893953235242667,85215.0,0.6693983413230071,0.512489766862431,0.7993598179923527,0.3597607055555321,0.00013063579009199678,0.5093276918466737,50.93,🟡 Watchlist,1,0.0,0.6649194507479957
Maharashtra,Amravati,2025-12,18628.0,1266.0,44433.0,2025-12-01,45699.0,64327.0,-23000.0,-52436.0,0.5395545400247246,48245.25,0.3979427021318451,0.3253176721836626,0.48301773993332475,0.20367997534439738,5.9261317275908834e-05,0.30797952706479287,30.8,🟡 Watchlist,0,0.0,0.06614871334807923
Maharashtra,Amravati,2026-01,1314.0,447.0,4202.0,2026-01-01,4649.0,5963.0,-17314.0,5686.0,0.08646936542669584,4472.25,0.4273785241709203,0.033094856736074034,0.7243190281854452,0.018876945745008717,9.497257680313668e-06,0.262815117314241,26.28,🟢 Stable,0,,0.14809781489006957
Maharashtra,Aurangabad,2025-03,20373.0,345.0,33233.0,2025-03-01,33578.0,53951.0,0.0,0.0,0.0,40463.25,0.5170112752761873,0.2390318562021712,0.700712835607737,0.17082554050231566,0.0,0.3547771810664843,35.48,🟡 Watchlist,0,0.0,0.04388014357233127
Maharashtra,Aurangabad,2025-04,4452.0,791.0,30242.0,2025-04-01,31033.0,35485.0,-15921.0,-15921.0,0.7855519818934453,26613.75,0.43458993818787983,0.22091475351486028,0.6346146660632959,0.11235503223382291,8.6280147385236e-05,0.3076653029955254,30.77,🟡 Watchlist,0,1.0,0.9216033099287693
Maharashtra,Aurangabad,2025-05,5228.0,0.0,41794.0,2025-05-01,41794.0,47022.0,776.0,16697.0,1.144709028807115,35266.5,0.5210285453961877,0.2975191315180637,0.770032673361869,0.14888564275551688,0.00012572772521129622,0.3809951594730459,38.1,🟡 Watchlist,1,0.0,0.33643991779570165
Maharashtra,Aurangabad,2025-06,2675.0,2326.0,46059.0,2025-06-01,48385.0,51060.0,-2553.0,-3329.0,0.9840232085177651,38295.0,0.5037946636571653,0.34443851219078125,0.6868920450535353,0.16167151475747582,0.0001080789933936185,0.3737036420353241,37.37,🟡 Watchlist,0,0.0,0.7254129287296903
Maharashtra,Aurangabad,2025-07,0.0,3835.0,40978.0,2025-07-01,44813.0,44813.0,-2675.0,-122.0,0.7872328772785516,33609.75,0.5031630825300518,0.3190105000889838,0.7002063362242547,0.14189109316355866,8.646476648735649e-05,0.3668812965891168,36.69,🟡 Watchlist,0,0.0,0.5233915441178976
Maharashtra,Aurangabad,2025-08,0.0,0.0,43346.0,2025-08-01,43346.0,43346.0,0.0,2675.0,0.8221560226714866,32509.5,0.5170112752761873,0.30856736074034524,0.7118184573357302,0.1372460029637385,9.03005077255056e-05,0.3693587959919988,36.94,🟡 Watchlist,0,1.0,0.7673751216931017
Maharashtra,Aurangabad,2025-09,10370.0,4978.0,62725.0,2025-09-01,67703.0,78073.0,10370.0,10370.0,1.327601679470321,58554.75,0.570695671080832,0.481957643708845,0.7437652832037331,0.24720513545804956,0.0001458155172589501,0.44901902798446214,44.9,🟡 Watchlist,1,1.0,0.9450170506822405
Maharashtra,Aurangabad,2025-10,25054.0,2166.0,46032.0,2025-10-01,48198.0,73252.0,14684.0,4314.0,0.6051090038993264,54939.0,0.5930287938871229,0.3431073144687667,0.7186229859384147,0.231939982183794,6.6461412158526e-05,0.41255959081604826,41.26,🟡 Watchlist,1,1.0,0.9498360627044565
Maharashtra,Aurangabad,2025-11,57419.0,2932.0,55863.0,2025-11-01,58795.0,116214.0,32365.0,17681.0,1.0368627979833605,87160.5,0.6845614652682148,0.4185442249510589,0.7741178815040541,0.36797431426605254,0.00011388256549571947,0.4858132283803615,48.58,🟡 Watchlist,1,0.0,0.3588576987249326
Maharashtra,Aurangabad,2025-12,31450.0,2284.0,47492.0,2025-12-01,49776.0,81226.0,-25969.0,-58334.0,0.7195999727872644,60919.5,0.38257250240725593,0.354340630005339,0.4585314008859588,0.2571887546809759,7.903638860517658e-05,0.3145247319407777,31.45,🟡 Watchlist,0,0.0,0.07871256994602222
Maharashtra,Aurangabad,2026-01,2268.0,927.0,5111.0,2026-01-01,6038.0,8306.0,-29182.0,-3213.0,0.10310585210036764,6229.5,0.3659391404284398,0.042982737141840185,0.6873736346312727,0.026295791237973005,1.1324505978659404e-05,0.24365126368041728,24.37,🟢 Stable,0,,0.16073899353860224
Maharashtra,Beed,2025-03,26479.0,0.0,23770.0,2025-03-01,23770.0,50249.0,0.0,0.0,0.0,37686.75,0.5170112752761873,0.16921160348816516,0.700712835607737,0.15910357464019284,0.0,0.3355638230086645,33.56,🟡 Watchlist,0,0.0,0.04580180205465527
Maharashtra,Beed,2025-04,2673.0,450.0,38498.0,2025-04-01,38948.0,41621.0,-23806.0,-23806.0,1.3926969837196583,31215.75,0.3937701251773086,0.277259298807617,0.6018790296800336,0.13178398483511564,0.00015296518090206397,0.30792370443464084,30.79,🟡 Watchlist,0,0.0,0.3051929995040077
Maharashtra,Beed,2025-05,2661.0,444.0,34582.0,2025-05-01,35026.0,37687.0,-12.0,23794.0,0.7643867621761791,28265.25,0.5169491525423728,0.24933974016728955,0.7994968219239504,0.11932741711453455,8.395549119603636e-05,0.3693832934530653,36.94,🟡 Watchlist,0,1.0,0.8532817375763144
Maharashtra,Beed,2025-06,5272.0,2531.0,45211.0,2025-06-01,47742.0,53014.0,2611.0,2623.0,1.1585548291318126,39760.5,0.5305281467753123,0.3398611852642819,0.7116025723526066,0.16785863558259415,0.00012724846186554288,0.3851157300870888,38.51,🟡 Watchlist,1,0.0,0.6162622509655687
Maharashtra,Beed,2025-07,3093.0,2283.0,34959.0,2025-07-01,37242.0,40335.0,-2179.0,-4790.0,0.6630437969964182,30251.25,0.505730822194382,0.26511478910838226,0.6808265073546201,0.12771201074038577,7.282460976016896e-05,0.348044429599137,34.8,🟡 Watchlist,0,0.0,0.34925679351041033
Maharashtra,Beed,2025-08,0.0,0.0,27245.0,2025-08-01,27245.0,27245.0,-3093.0,-914.0,0.6218148376876191,20433.75,0.5009991406355155,0.19394910126357004,0.6969182418659106,0.08626400070927075,6.829627711294053e-05,0.32607055339591107,32.61,🟡 Watchlist,0,1.0,0.6979972745463401
Maharashtra,Beed,2025-09,8432.0,2311.0,75049.0,2025-09-01,77360.0,85792.0,8432.0,11525.0,2.4134184834471113,64344.0,0.5606628495698001,0.5507029720590852,0.7485604208096517,0.27164647918839163,0.00026507488651758565,0.4683402726803881,46.83,🟡 Watchlist,1,1.0,0.9352603938702184
Maharashtra,Beed,2025-10,27269.0,1153.0,35113.0,2025-10-01,36266.0,63535.0,18837.0,10405.0,0.3984708057031321,47651.25,0.6145284366814036,0.2581669336180815,0.7439105904039125,0.20117219658621227,4.3765556751460654e-05,0.3971383549770984,39.71,🟡 Watchlist,1,1.0,0.9139962635382357
Maharashtra,Beed,2025-11,65999.0,1577.0,41940.0,2025-11-01,43517.0,109516.0,38730.0,19893.0,1.019920313232415,82137.0,0.7175123986622904,0.309784659192027,0.783301296555389,0.34676585199039106,0.00011202170827038316,0.4655162048294564,46.55,🟡 Watchlist,1,0.0,0.3611803735121702
Maharashtra,Beed,2025-12,25627.0,1010.0,34487.0,2025-12-01,35497.0,61124.0,-40372.0,-79102.0,0.6933326439634174,45843.0,0.30800969114647503,0.25269264993771134,0.37231025993382294,0.193538036755424,7.615134846197014e-05,0.2436797654733941,24.37,🟢 Stable,0,0.0,0.12262608647163777
Maharashtra,Beed,2026-01,1881.0,478.0,3158.0,2026-01-01,3636.0,5517.0,-23746.0,16626.0,0.08706405994703927,4137.75,0.3940807388463808,0.02588360918312867,0.7697379073272194,0.017464736999869123,9.56257523032576e-06,0.26155981340908613,26.16,🟢 Stable,0,,0.16993332760930965
Maharashtra,Bhandara,2025-03,2997.0,0.0,15576.0,2025-03-01,15576.0,18573.0,0.0,0.0,0.0,13929.75,0.5170112752761873,0.11088093966898024,0.700712835607737,0.05880508986207217,0.0,0.3059363843371501,30.59,🟡 Watchlist,0,0.0,0.010456537186334821
Maharashtra,Bhandara,2025-04,0.0,0.0,13959.0,2025-04-01,13959.0,13959.0,-2997.0,-2997.0,0.7617095718045837,10469.25,0.501496122506031,0.0993699946609717,0.6882703876380938,0.04419537876325133,8.366144524470056e-05,0.2945124628506439,29.45,🟢 Stable,0,0.0,0.1013838822587317
Maharashtra,Bhandara,2025-05,0.0,0.0,13737.0,2025-05-01,13737.0,13737.0,0.0,2997.0,0.8364219197707736,10302.75,0.5170112752761873,0.0977896422851041,0.7131552835773802,0.043492440778002475,9.186738519851801e-05,0.30286893233027906,30.29,🟡 Watchlist,0,0.0,0.06128638448548082
Maharashtra,Bhandara,2025-06,317.0,498.0,22723.0,2025-06-01,23221.0,23538.0,317.0,317.0,1.4367338768379676,17653.5,0.5186523508277854,0.16530343477487097,0.7020289036779328,0.07452620291054321,0.00015780191954726158,0.3225973278607642,32.26,🟡 Watchlist,0,0.0,0.06578606136457303
Maharashtra,Bhandara,2025-07,0.0,0.0,8348.0,2025-07-01,8348.0,8348.0,-317.0,-634.0,0.3055636896046852,6261.0,0.5153701997245892,0.0594269442961381,0.6980806994673453,0.02642877950545252,3.3561216548804854e-05,0.2872847770069511,28.73,🟢 Stable,0,0.0,0.05430744213780769
Maharashtra,Bhandara,2025-08,0.0,0.0,8482.0,2025-08-01,8482.0,8482.0,0.0,317.0,0.8635405437776978,6361.5,0.5170112752761873,0.0603808506851753,0.7020289036779328,0.026853075406458586,9.484592631372533e-05,0.288796000425843,28.88,🟢 Stable,0,0.0,0.06325332526317695
Maharashtra,Bhandara,2025-09,3116.0,634.0,23483.0,2025-09-01,24117.0,27233.0,3116.0,3116.0,2.4165330661322644,20424.75,0.5331424784900034,0.17168179391350774,0.7136493280579901,0.08622600406141946,0.00026541697292219353,0.3319096468676271,33.19,🟡 Watchlist,0,0.0,0.04798221916966748
Maharashtra,Bhandara,2025-10,7239.0,266.0,20074.0,2025-10-01,20340.0,27579.0,4123.0,1007.0,0.7168504851148519,20684.25,0.5383556112359318,0.14479444741057126,0.7048935313386114,0.08732157407446497,7.8734401967656e-05,0.3248762672008129,32.49,🟡 Watchlist,0,0.0,0.6644042517230891
Maharashtra,Bhandara,2025-11,13695.0,453.0,21815.0,2025-11-01,22268.0,35963.0,6456.0,2333.0,0.9305245563148321,26972.25,0.5504333060683557,0.1585193094856736,0.7103985984082635,0.11386856537323262,0.00010220303393660747,0.33641348883123545,33.64,🟡 Watchlist,0,0.0,0.7622844887258341
Maharashtra,Bhandara,2025-12,7323.0,554.0,15242.0,2025-12-01,15796.0,23119.0,-6372.0,-12828.0,0.6029278369033185,17339.25,0.48402410362071996,0.11244705463605624,0.6474556709248596,0.07319948662306902,6.622184633191608e-05,0.2895987800195761,28.96,🟢 Stable,0,0.0,0.10717954029095529
Maharashtra,Bhandara,2026-01,477.0,180.0,1106.0,2026-01-01,1286.0,1763.0,-6846.0,-474.0,0.06919668291447743,1322.25,0.4815702556350496,0.009154653852998754,0.6987449609538795,0.005578118997057371,7.600133585100399e-06,0.2632680774323844,26.33,🟢 Stable,0,,0.03812701691044567
Maharashtra,Bid,2025-03,0.0,0.0,854.0,2025-03-01,854.0,854.0,0.0,0.0,0.0,640.5,0.5170112752761873,0.0060793735540131694,0.700712835607737,0.002699872922322186,0.0,0.27132021026744585,27.13,🟢 Stable,0,0.0,0.010456537186334821
